time,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user
10/28/2012 20:18,A hurricane warning has been issued or has been lifted,0.7108,"Conditions are dangerous and will get worse
Please stay where you are
Conditions are dangerous and will get worse","N/A
N/A
The time for evacuation is over","NYC
NYC
NYC",Informative (Indirect),The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,jmbelcher
10/28/2012 20:20,A shelter is open or available,1,"shelters we opened will remain open
76 shelters we opened will remain open today
76 shelters we opened will remain open today","today
today
today","NYC
NYC
NYC",Informative (Indirect),Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,RT @HuffingtonPost: Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,Caution and advice,,HeiddiZ
10/28/2012 20:20,Other,1,"all four East River bridges will shut down
At 7 PM all four East River bridges will shut down
bridges will shut down","7 PM
7 PM
7 PM",Brooklyn,Informative (Indirect),BREAKING: At 7 PM all four East River bridges will shut down: Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges. #Sandy,RT @NYCMayorsOffice: BREAKING: At 7 PM all four East River bridges will shut down: Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges. #Sandy,Caution and advice,,Jsurvivor_nyc
10/28/2012 20:24,A hurricane sighting has been reported,1,"wind gust to 66mph
JFK recorded a wind gust to 66mph at 1:36pm
recorded a wind gust to 66mph","1:36pm
1:36pm
1:36pm","JFK
N/A
JFK",Informative (Indirect),JFK recorded a wind gust to 66mph at 1:36pm. Just short of hurricane force. Still 8-10hrs from landfall. http://t.co/4Cswv26R #Sandy,RT @WSJweather: JFK recorded a wind gust to 66mph at 1:36pm. Just short of hurricane force. Still 8-10hrs from landfall. http://t.co/4Cswv26R #Sandy,Caution and advice,,DanaGalColeman
10/28/2012 20:28,Other,1,"All pets are accepted
All pets are accepted on the subway taxi and trains
pets are accepted on the subway taxi and trains","during evacuation
N/A
during evacuation.",NYC,Informative (Indirect),NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,biasia
10/28/2012 20:28,Other,0.7122,"Stay inside
Stay inside try to relax don't go being macho and running into the water
Stay inside try to relax","N/A
N/A
n/a",NYC,Informative (Indirect),In sum: http://t.co/jJUy1y8F Stay inside try to relax don't go being macho and running into the water. #Sandy #MayorBloomberg,In sum: http://t.co/jJUy1y8F Stay inside try to relax don't go being macho and running into the water. #Sandy #MayorBloomberg,Caution and advice,,nycTrend
10/28/2012 20:32,A hurricane warning has been issued or has been lifted,0.7047,"Sandy hitting gas peda
Sandy hitting gas pedal
Sandy hitting gas pedal. Speeding up.","N/A
n/a
scheduled",NYC,Informative (Indirect),NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,Caution and advice,,AboveAverageA
10/28/2012 20:34,A hurricane warning has been issued or has been lifted,0.6506,"President Obama declares states of emergency
President Obama declares states of emergency in New York and Massachusetts
President Obama declares states of emergency","N/A
N/A
n/a",NYC,Informative (Indirect),President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,RT @cnnbrk: President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,Caution and advice,,_LetsFlyAway_
10/28/2012 20:37,A hurricane warning has been issued or has been lifted,0.6619,"Remain in your homes
Remain in your homes while the storm is in progress
Remain in your homes","while the storm is in progress
while the storm is in progress
in progress",NYC,Informative (Direct),Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,RT @MikeBloomberg: Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,Caution and advice,,JahEmpress
10/28/2012 20:37,A hurricane sighting has been reported,0.7122,"Winds howling crazy like a banshee
Winds howling crazy like a banshee thru NYC
Winds howling crazy like a banshee","N/A
N/A
today","NYC
NYC
thru NYC",Informative (Direct),Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Caution and advice,,SuSohn
10/28/2012 20:37,Other,1,"Please use 311 for downed trees and flooding
use 311 for downed trees and flooding
use 311 for downed trees and flooding not 911","N/A

n/a","NYC
NYC
NYC",Informative (Indirect),"Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC","RT @twc_hurricane: Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC",Caution and advice,,MadameRamotswe
10/28/2012 20:37,Other,0.6771,"BLIZZARD WARNINGS
BLIZZARD WARNINGS IN WEST VIRGINIA
BLIZZARD WARNINGS","
N/A
WHILE HURRICANE SANDY THREATENS",WV,Informative (Indirect),BLIZZARD WARNINGS IN WEST VIRGINIA ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® WHILE HURRICANE SANDY THREATENS: http://t.co/suAeqpui,RT @gretawire: BLIZZARD WARNINGS IN WEST VIRGINIA WHILE HURRICANE SANDY THREATENS: http://t.co/suAeqpui,Caution and advice,,normsantos
10/28/2012 20:40,Other,1,"satalite images and shots
satalite images and shots coming out
satalite images and shots coming out","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),Wow the satalite images and shots coming out of NYC are really scary. #StaySafe #Sandy,Wow the satalite images and shots coming out of NYC are really scary. #StaySafe #Sandy,Caution and advice,,Halled
10/28/2012 20:44,A hurricane warning has been issued or has been lifted,1,"Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC
Hurricane Sandy Unleashes Her Fury On NYC
When Hurricane Sandy Unleashes Her Fury","8 O'Clock
8 O'Clock
8 O'Clock","NYC
NYC
NYC",Informative (Indirect),#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/TQSYfNah,RT @funkmasterflex: #IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/TQSYfNah,Caution and advice,,KidDuckie
10/28/2012 20:50,A hurricane warning has been issued or has been lifted,0.3614,"most severe part of the hurricane
most severe part of the hurricane is now beginning
The most severe part of the hurricane is now beginning","now beginning
now
now","NYC
NYC
NYC",Informative (Indirect),RT @NYMag: Mayor Bloomberg: The most severe part of the hurricane is now beginning. #NYC still v. much within danger zone. #Sandy,RT @emoticomma: RT @NYMag: Mayor Bloomberg: The most severe part of the hurricane is now beginning. #NYC still v. much within danger zone. #Sandy,Caution and advice,,wlynnae
10/28/2012 20:53,Other,1,"phone network overload
w/phone network overload or no Internet
phone network overload or no Internet can text","N/A
N/A
n/a","N/A
NYC
n/a",Informative (Direct),NYC w/phone network overload or no Internet can text 311692 for info or help. #Sandy Please RT,RT @KattHumor: NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,Caution and advice,,markustedeschii
10/28/2012 20:53,A hurricane sighting has been reported,0.7122,"wind and rain are starting up
wind and rain are starting up
wind and rain are starting up","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Direct),wind and rain are starting up... SANDY'S COMIN,RT @kristinklementz: wind and rain are starting up... SANDY'S COMIN,Caution and advice,,nicholatrinh
10/28/2012 20:57,Other,1,"pets are accepted on the subway taxi and trains
All pets are accepted on the subway taxi and trains during evacuation
pets are accepted on the subway taxi and trains","during evacuation
during evacuation
during evacuation","NYC
NYC
NYC",Informative (Indirect),NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,Marketa1981
10/28/2012 20:57,Other,1,"the time for evacuation
time for evacuation is now over
time for evacuation is now over","now over
now
now","nyc
NYC
nyc",Informative (Indirect),the time for evacuation is now over - mike bloomberg. | #nyc #sandy,the time for evacuation is now over - mike bloomberg. | #nyc #sandy,Caution and advice,,shaunrandol
10/28/2012 21:09,Other,1,"ConEd may shut down power
ConEd may shut down power
may shut down power","N/A
N/A
n/a","Brooklyn, Manhattan",Informative (Indirect),NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,kerstinshamberg
10/29/2012 6:05,Other,0.9684,"Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed until further notice.
Public transportation closed until further notice
Public transportation closed
Public transportation closed until further notice
Public transportation closed
Public transportation closed
NYC subway tunnels flooded. Air runways flooded at airport
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed until further notice.
""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport.
Public transportation closed
Public transportation closed
Public transportation closed until further notice
flooded
Public transportation closed
Some NYC subway tunnels flooded. Air runways flooded at airport","until further notice
until further notice

n/a
N/A
until further notice
N/A

until further notice
until further notice


until further notice


until further notice
until further notice
until further notice
until further notice
Until further notice
until further notice

N/A
N/A
until further notice
until further notice
until further notice

N/A","NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
Some NYC subway tunnels flooded.  Air runways flooded at airport.
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC",Informative (Direct),"Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy","RT @xeni: Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy",Caution and advice,"A hurricane sighting has been reported
Other",celestemc
10/29/2012 14:23,A hurricane warning has been issued or has been lifted,0.6869,"Please stay where you are
Conditions are dangerous and will get worse
Conditions are dangerous","N/A
The time for evacuation is over
N/A","NYC
NYC
where you are",Informative (Indirect),The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,coastalvegan
10/29/2012 14:30,Other,0.6869,"sandy update
sandy update here
sandy update","now
now
now",NYC,Informative (Indirect),Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,RT @rebeccagberg: Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,Caution and advice,,BuzzFeed
10/29/2012 14:34,A hurricane sighting has been reported,0.6647,"high wind
damn high wind
high wind","Now
Now
Now",NJC,Informative (Direct),Now we gotta a damn high wind thanks to that bitch Sandy,Now we gotta a damn high wind thanks to that bitch Sandy,Caution and advice,,SoLowKey1
10/29/2012 14:34,Other,1,"Over 13500 flight cancelled
Over 13500 flight cancelled
13500 flight cancelled","N/A
n/a
n/A","NYC, NJ",Informative (Indirect),#Sandy #Updates: Over 13500 flight cancelled and counting due to Hurricane Sandy.. #NYC #NJ http://t.co/yUClpuNt,#Sandy #Updates: Over 13500 flight cancelled and counting due to Hurricane Sandy.. #NYC #NJ http://t.co/yUClpuNt,Caution and advice,,JasminGranado
10/29/2012 14:40,A hurricane warning has been issued or has been lifted,0.6869,"SANDY SET TO SLAM NYC AND TRI-STATE REGION
STORM SANDY SET TO SLAM
SLAM NYC","N/A
n/a
n/A",NYC,Informative (Indirect),MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Jersey,MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Je...,Caution and advice,,CGaye2
10/29/2012 14:44,A hurricane sighting has been reported,1,"winds water swell
Sandy now 40 miles from New Jersey
winds water swell","now
now
now",NJ,Informative (Indirect),#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,annemaccat
10/29/2012 14:44,Other,1,"All bridges tunnels in NYC closed except for Lincoln Tunnel
bridges tunnels in NYC closed
tunnels in NYC closed","N/A
n/a
n/A","NYC
NYC
NYC",Informative (Indirect),All bridges tunnels in NYC closed except for Lincoln Tunnel. #sandyonfox http://t.co/UQ6QYH09,All bridges tunnels in NYC closed except for Lincoln Tunnel. #sandyonfox http://t.co/UQ6QYH09,Caution and advice,,MyFoxNY
10/29/2012 14:47,A hurricane sighting has been reported,1,"Sandy makes landfall
Sandy makes landfall
Sandy makes landfall","N/A
n/a
n/A",NJ,Informative (Indirect),#BREAKING: #Sandy makes landfall in New Jersey. #NJ http://t.co/oxTN1BKB,RT @NBCNewYork: #BREAKING: #Sandy makes landfall in New Jersey. #NJ http://t.co/oxTN1BKB,Caution and advice,,CirocBoyNick
10/29/2012 19:09,A hurricane sighting has been reported,0.7629,"Storm just now hitting Jersey
All bridges closing in NYC & Jersey
All bridges closing
Storm
All bridges closing in NYC & Jersey
Storm just now hitting Jersey
Storm just now hitting Jersey
Storm just now hitting","now
now
just now
n/a
N/A
now
now
just now","NYC, NJ",Informative (Direct or Indirect),Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,A hurricane sighting has been reported,beball
10/29/2012 19:09,Other,1,"Airports and stock exchange reopen
Airports and stock exchange reopen
Airports and stock exchange reopen; NJ devastated","N/A
N/A
n/a","NJ
NJ
NJ",Informative (Indirect),LATEST | Airports and stock exchange reopen; NJ devastated: Two major airports reopened and the floor of the New... http://t.co/GefqGlfb,LATEST | Airports and stock exchange reopen; NJ devastated: Two major airports reopened and the floor of the New... http://t.co/GefqGlfb,Caution and advice,,TheSunNews
10/29/2012 19:14,A hurricane warning has been issued or has been lifted,0.7003,"Conditions are dangerous
The time for evacuation is over
time for evacuation is over. Conditions are dangerous","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,alj770
10/29/2012 19:14,Other,0.6355,"Sandy to cause 'record extreme coastal flooding
Sandy to cause 'record extreme coastal flooding
record extreme coastal flooding","N/A
N/A
n/a",NJ,Informative (Indirect),Sandy to cause 'record extreme coastal flooding' http://t.co/KHls8eDj via @AsburyParkPress,Sandy to cause 'record extreme coastal flooding' http://t.co/KHls8eDj via @AsburyParkPress,Caution and advice,,colleen52390759
10/29/2012 19:29,A hurricane warning has been issued or has been lifted,1,"When Hurricane Sandy Unleashes Her Fury
8 O'Clock Is When Hurricane Sandy Unleashes Her Fury
Hurricane Sandy Unleashes Her Fury","8 O'Clock
8 O'Clock
8 O'Clock","NYC
NYC
NYC",Informative (Indirect),#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/jfOwCb5o,RT @funkmasterflex: #IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/jfOwCb5o,Caution and advice,,RealMGillette
10/29/2012 19:34,Other,1,"BE SAFE!!!
BE SAFE
BE SAFE","N/A
n/a
n/a","NYC, NJ",Informative (Direct),Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,RT @TeamApoloKarina: Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,Caution and advice,,jimmbboe
10/29/2012 19:34,A hurricane sighting has been reported,1,"storm is getting closer
storm is getting closer
storm is getting closer","N/A
n/a
n/a",NYC,Informative (Direct),And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,Caution and advice,,vickyXlee
10/29/2012 19:37,A hurricane sighting has been reported,0.7108,"winds water swell
Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey","now
now
now",NJ,Informative (Indirect),#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,beachhomesnj
10/29/2012 19:37,Other,1,"updates residents
Mayor Michael Bloomberg updates residents on Hurricane
updates residents on Hurricane #Sandy","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,RT @NBCNews: LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,Caution and advice,,meggy009
10/29/2012 19:41,Other,0.6543,"East coast braces for hurricane
East coast braces for hurricane
braces for hurricane","n/a
N/A
n/a",NJ,Informative (Indirect),Sandy: East coast braces for hurricane ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã¢â‚¬â€œlife-threateningÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â» storm surge http://t.co/zD0IJNRA,"Sandy: East coast braces for hurricane �life-threatening"" storm surge http://t.co/zD0IJNRA",Caution and advice,,conquilia
10/29/2012 19:41,A hurricane warning has been issued or has been lifted,0.6974,"Wind gusts over 60 mph
Wind gusts over 60 mph
Wind gusts over 60 mph","this hour
N/A
this hour",NYC,Informative (Indirect),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour. #Sandy,RT @twc_hurricane: Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour. #Sandy,Caution and advice,,DITZABELLA
10/29/2012 19:44,A hurricane warning has been issued or has been lifted,0.6559,"the worst of the storm
worst of the storm
worst of the storm","630-1030 PM
630-1030 PM
630-1030 PM","NYC
NYC
NYC",Informative (Indirect),RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,RT @AlexJamesFitz: RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,Caution and advice,,Kenosen2
10/29/2012 19:44,A hurricane sighting has been reported,0.6235,"Sandy approaching
Sandy
Sandy approaching","N/A
n/a
n/a",NJ,Informative (Indirect),Sandy approaching northeast U.S. http://t.co/cDuyLxA2,Sandy approaching northeast U.S. http://t.co/cDuyLxA2,Caution and advice,,optimismnow2
10/29/2012 19:52,Other,0.6355,"Mayor is updating New Yorkers on #Sandy
Mayor is updating New Yorkers
Mayor is updating New Yorkers on #Sandy","LIVE NOW
N/A
LIVE NOW",NYC,Informative (Indirect),LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,RT @NYCMayorsOffice: LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Caution and advice,,HealthcareWen
10/29/2012 20:06,A hurricane sighting has been reported,0.6988,"Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey","now
N/A
now",NJ,Informative (Indirect),#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,attynyc212
10/29/2012 20:06,Other,1,"Bridges Set to Close
Several Bridges Set to Close
Bridges Set to Close","N/A
N/A
n/a","Brooklyn, Manhattan",Informative (Indirect),Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Caution and advice,,DNAinfo
10/29/2012 20:14,A hurricane sighting has been reported,0.6386,"highest observed gusts
JFK airport in #NYC now gusting to 71 mph
now gusting to 71 mph","now
now
now",JFK,Informative (Indirect),#JFK airport in #NYC now gusting to 71 mph - the highest observed gusts so far in NYC during #Sandy.,RT @twc_hurricane: #JFK airport in #NYC now gusting to 71 mph - the highest observed gusts so far in NYC during #Sandy.,Caution and advice,,JusAire
10/29/2012 20:24,Other,0.6559,"keep an eye out for storm drains
please prepared to keep an eye out for storm drains
keep an eye out for storm drains","In advance of the arrival of Hurricane Sandy
In advance of the arrival of Hurricane Sandy
the arrival of Hurricane Sandy",NYC,Informative (Indirect),In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,Caution and advice,,BTVDPW
10/29/2012 20:47,Other,0.6506,"empty streets in the concrete jungle
New York City never sleeps
empty streets in the concrete jungle","N/A
N/A
n/a",NYC,Informative (Direct),@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x empty streets in the concrete jungle!,"RT @ArturinAbreu: ""@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x"" empty streets in the concrete jungle!",Caution and advice,,luisdessommes
10/29/2012 20:47,Other,1,"Mayor Bloomberg will update New Yorkers on #Sandy
Mayor Bloomberg will update New Yorkers on #Sandy
Mayor Bloomberg will update New Yorkers","10 AM
10 AM
10 AM",NYC,Informative (Indirect),Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,RT @NYCMayorsOffice: Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,Caution and advice,,DareIBuild
10/29/2012 20:50,Other,1,"Empty streets
Empty streets
Empty streets","N/A
n/a
n/a","Soho
Soho NYC
Soho NYC",Informative (Indirect),Empty streets of Soho NYC by @xhank. http://t.co/pQxgRVG1 #sandy,RT @stevesilberman: Empty streets of Soho NYC by @xhank. http://t.co/pQxgRVG1 #sandy,Caution and advice,,johndavisonx
10/29/2012 21:09,A hurricane sighting has been reported,1,"#Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey
Sandy
winds water swell","now
now
now
now",NJ,Informative (Indirect),#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,Cholosocksgirl
10/30/2012 14:30,A hurricane warning has been issued or has been lifted,0.6485,"Sandy will unleash furious waves on New York City
Sandy will unleash furious waves
Sandy will unleash furious waves","8 P.M
8 P.M
8 P.M",NYC,Informative (Indirect),SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,RT @nydailynews: 'SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,Caution and advice,,BiscardiA
10/30/2012 14:40,Other,1,"FLOODING POSSIBLE
REMNANTS OF HURRICANE SANDY WILL LINGER
FLOODING POSSIBLE","N/A
n/a
n/A",PA,Informative (Indirect),...FLOODING POSSIBLE FROM REMNANTS OF HURRICANE SANDY... .THE REMNANTS OF HURRICANE SANDY WILL LINGER OVER CENTRAL PENN http://t.co/NDA9XSgt,...FLOODING POSSIBLE FROM REMNANTS OF HURRICANE SANDY... .THE REMNANTS OF HURRICANE SANDY WILL LINGER OVER CENTRAL PENN http://t.co/NDA9XSgt,Caution and advice,,Johnstown_WX
10/30/2012 19:56,Other,1,"Stranded because of #Sandy?
Stranded because of #Sandy? Here's what you need to know
Stranded because of #Sandy? Here's what you need to know","N/A
N/A
n/a",NYC,Informative (Indirect),RT @BudgetTravel: Stranded because of #Sandy? Here's what you need to know--#airline by airline http://t.co/REmduOnv #Frankenstorm,RT @dfwairport: RT @BudgetTravel: Stranded because of #Sandy? Here's what you need to know--#airline by airline http://t.co/REmduOnv #Frankenstorm,Caution and advice,,SKSMediaCanada
10/30/2012 20:24,A shelter is open or available,1,"List of NJ PA and DE shelters
List of NJ PA and DE shelters
List of NJ PA and DE shelters","N/A
N/A
n/a","NJ, PA, DE",Informative (Indirect),ALERT: List of NJ PA and DE shelters - including those that are pet friendly http://t.co/K3T7t91E #sandy #sandypets,RT @ASPCA: ALERT: List of NJ PA and DE shelters - including those that are pet friendly http://t.co/K3T7t91E #sandy #sandypets,Caution and advice,,SallyMos
10/31/2012 14:37,Other,1,"Bellevue Hospital
Hospital Set to Evacuate
Set to Evacuate","n/a
After Sandy
After Sandy",NYC,Informative (Indirect),Prayers!! RT @jacquereid: RT @ABC: New York's Bellevue Hospital Set to Evacuate After Sandy http://t.co/gZUyn3uQ,Prayers!! RT @jacquereid: RT @ABC: New York's Bellevue Hospital Set to Evacuate After Sandy http://t.co/gZUyn3uQ,Caution and advice,,Syreta
10/31/2012 14:40,Other,1,"airports reopen
airports reopen after two days of cancellations
Liberty airports reopen","after two days of cancellations
after two days of cancellations
two days",NYC,Informative (Indirect),New York's #JFK and #Newark Liberty airports reopen after two days of cancellations. La Guardia remains closed http://t.co/3yLWVeam #Sandy,RT @BBCWorld: New York's #JFK and #Newark Liberty airports reopen after two days of cancellations. La Guardia remains closed http://t.co/3yLWVeam #Sandy,Caution and advice,,MarcClimaco
10/31/2012 14:47,A hurricane sighting has been reported,0.7244,"crazy waves & wind
crazy waves & wind
crazy waves & wind","
n/a
n/A","New Buffalo
New Buffalo
New Buffalo",Informative (Direct),We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,Caution and advice,,NewBuffaloInn
10/31/2012 19:49,Other,1,"Christie postpones Halloween celebrations
Christie postpones Halloween celebrations
Christie postpones Halloween celebrations","N/A
N/A
Halloween",NJ,Informative (Indirect),Christie postpones Halloween celebrations in New Jersey - USA TODAY: ABC NewsChristie postpones Halloween celebr... http://t.co/WEF3U3PL,Christie postpones Halloween celebrations in New Jersey - USA TODAY: ABC NewsChristie postpones Halloween celebr... http://t.co/WEF3U3PL,Caution and advice,,ShowCars1
10/31/2012 19:52,Other,1,"Mashable Media Summit Rescheduled
Mashable Media Summit Rescheduled Due to Hurricane Sandy
Mashable Media Summit Rescheduled","past few days
N/A
past few days",NYC,Informative (Indirect),Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Caution and advice,,abc_coza
